Average_Price,borough,Date
3277253.2,N6,2022-12-01
516346.2,CR2,2022-01-01
520005.34,CR2,2022-02-01
520171.88,CR2,2022-03-01
522122.97,CR2,2022-04-01
524975.3,CR2,2022-05-01
525304.4,CR2,2022-06-01
527645.94,CR2,2022-07-01
530006.25,CR2,2022-08-01
530582.5,CR2,2022-09-01
533142.4,CR2,2022-10-01
535036.6,CR2,2022-11-01
535879.8,CR2,2022-12-01
740044.7,N19,2022-01-01
742812.56,N19,2022-02-01
749413.6,N19,2022-03-01
751316.9,N19,2022-04-01
758300.0,N19,2022-05-01
760749.0,N19,2022-06-01
766296.4,N19,2022-07-01
771295.7,N19,2022-08-01
774482.5,N19,2022-09-01
781969.3,N19,2022-10-01
783125.2,N19,2022-11-01
791839.44,N19,2022-12-01
569233.3,WD3,2022-01-01
523136.72,WD3,2022-02-01
477008.38,WD3,2022-03-01
430934.56,WD3,2022-04-01
388088.38,WD3,2022-05-01
354534.84,WD3,2022-06-01
344910.78,WD3,2022-07-01
351762.5,WD3,2022-08-01
377223.03,WD3,2022-09-01
416599.06,WD3,2022-10-01
467839.28,WD3,2022-11-01
524953.3,WD3,2022-12-01
746778.8,N20,2022-01-01
753494.75,N20,2022-02-01
752294.2,N20,2022-03-01
759213.94,N20,2022-04-01
762561.94,N20,2022-05-01
767323.75,N20,2022-06-01
770307.8,N20,2022-07-01
775465.8,N20,2022-08-01
778677.4,N20,2022-09-01
783470.5,N20,2022-10-01
787140.06,N20,2022-11-01
791895.7,N20,2022-12-01
494225.28,UB6,2022-01-01
498367.47,UB6,2022-02-01
497809.28,UB6,2022-03-01
500161.88,UB6,2022-04-01
501865.8,UB6,2022-05-01
502126.34,UB6,2022-06-01
505503.06,UB6,2022-07-01
504774.8,UB6,2022-08-01
508390.1,UB6,2022-09-01
508204.34,UB6,2022-10-01
510601.4,UB6,2022-11-01
511990.47,UB6,2022-12-01
533165.75,KT6,2022-01-01
535312.8,KT6,2022-02-01
537272.06,KT6,2022-03-01
539431.94,KT6,2022-04-01
541524.9,KT6,2022-05-01
543684.9,KT6,2022-06-01
545777.8,KT6,2022-07-01
547937.75,KT6,2022-08-01
550097.56,KT6,2022-09-01
552190.6,KT6,2022-10-01
554350.5,KT6,2022-11-01
556443.56,KT6,2022-12-01
1118108.1,N1,2022-01-01
1118223.4,N1,2022-02-01
1115085.9,N1,2022-03-01
1122068.9,N1,2022-04-01
1129252.0,N1,2022-05-01
1133541.6,N1,2022-06-01
1137845.8,N1,2022-07-01
1143333.2,N1,2022-08-01
1148710.1,N1,2022-09-01
1153607.2,N1,2022-10-01
1158784.2,N1,2022-11-01
1163891.1,N1,2022-12-01
522808.66,SW9,2022-01-01
526897.3,SW9,2022-02-01
528671.6,SW9,2022-03-01
532253.1,SW9,2022-04-01
534880.0,SW9,2022-05-01
537715.0,SW9,2022-06-01
541072.25,SW9,2022-07-01
543393.7,SW9,2022-08-01
547182.0,SW9,2022-09-01
549311.0,SW9,2022-10-01
553003.94,SW9,2022-11-01
555392.94,SW9,2022-12-01
1011044.3,N5,2022-01-01
1016036.8,N5,2022-02-01
1020562.8,N5,2022-03-01
1026631.0,N5,2022-04-01
1031031.25,N5,2022-05-01
1036642.8,N5,2022-06-01
1041843.6,N5,2022-07-01
1046588.25,N5,2022-08-01
1052563.6,N5,2022-09-01
1056986.9,N5,2022-10-01
1062632.8,N5,2022-11-01
1067732.4,N5,2022-12-01
628119.6,E8,2022-01-01
631923.5,E8,2022-02-01
635369.4,E8,2022-03-01
639173.2,E8,2022-04-01
642857.6,E8,2022-05-01
646775.3,E8,2022-06-01
650573.2,E8,2022-07-01
654563.75,E8,2022-08-01
658837.1,E8,2022-09-01
662973.56,E8,2022-10-01
667246.8,E8,2022-11-01
671383.4,E8,2022-12-01
706557.94,KT2,2022-01-01
711028.8,KT2,2022-02-01
713314.06,KT2,2022-03-01
715593.2,KT2,2022-04-01
720121.3,KT2,2022-05-01
720847.56,KT2,2022-06-01
724414.06,KT2,2022-07-01
726068.6,KT2,2022-08-01
727988.2,KT2,2022-09-01
732209.3,KT2,2022-10-01
732415.7,KT2,2022-11-01
737025.2,KT2,2022-12-01
457318.06,UB2,2022-01-01
463621.78,UB2,2022-02-01
460679.9,UB2,2022-03-01
466176.0,UB2,2022-04-01
468628.38,UB2,2022-05-01
467942.84,UB2,2022-06-01
475864.53,UB2,2022-07-01
471644.66,UB2,2022-08-01
480515.25,UB2,2022-09-01
477962.1,UB2,2022-10-01
482860.72,UB2,2022-11-01
485627.88,UB2,2022-12-01
678595.94,HA8,2022-01-01
680464.4,HA8,2022-02-01
682109.1,HA8,2022-03-01
683977.5,HA8,2022-04-01
685771.25,HA8,2022-05-01
687639.75,HA8,2022-06-01
689433.7,HA8,2022-07-01
691302.1,HA8,2022-08-01
693170.4,HA8,2022-09-01
694964.44,HA8,2022-10-01
696832.75,HA8,2022-11-01
698626.75,HA8,2022-12-01
975770.25,SW15,2022-01-01
978709.7,SW15,2022-02-01
982145.3,SW15,2022-03-01
986056.06,SW15,2022-04-01
989889.5,SW15,2022-05-01
993857.1,SW15,2022-06-01
997690.7,SW15,2022-07-01
1001658.4,SW15,2022-08-01
1005686.06,SW15,2022-09-01
1009605.44,SW15,2022-10-01
1013661.5,SW15,2022-11-01
1017581.1,SW15,2022-12-01
553449.44,SE16,2022-01-01
545894.8,SE16,2022-02-01
541770.6,SE16,2022-03-01
554097.44,SE16,2022-04-01
540458.4,SE16,2022-05-01
548030.25,SE16,2022-06-01
556098.3,SE16,2022-07-01
541762.7,SE16,2022-08-01
553639.6,SE16,2022-09-01
556469.5,SE16,2022-10-01
544282.0,SE16,2022-11-01
558829.25,SE16,2022-12-01
218105.6,RM5,2022-01-01
218345.67,RM5,2022-02-01
218961.39,RM5,2022-03-01
219618.25,RM5,2022-04-01
219804.11,RM5,2022-05-01
220638.69,RM5,2022-06-01
221008.66,RM5,2022-07-01
221425.03,RM5,2022-08-01
222215.02,RM5,2022-09-01
222446.69,RM5,2022-10-01
223094.72,RM5,2022-11-01
223678.97,RM5,2022-12-01
412491.97,E16,2022-01-01
413497.5,E16,2022-02-01
414578.03,E16,2022-03-01
415550.47,E16,2022-04-01
416497.2,E16,2022-05-01
417469.7,E16,2022-06-01
418416.3,E16,2022-07-01
419388.88,E16,2022-08-01
420361.38,E16,2022-09-01
421308.06,E16,2022-10-01
422280.5,E16,2022-11-01
423252.5,E16,2022-12-01
502319.62,SE12,2022-01-01
505066.75,SE12,2022-02-01
507075.25,SE12,2022-03-01
509522.6,SE12,2022-04-01
512105.5,SE12,2022-05-01
514493.88,SE12,2022-06-01
517092.75,SE12,2022-07-01
519484.0,SE12,2022-08-01
522087.5,SE12,2022-09-01
524527.75,SE12,2022-10-01
526989.25,SE12,2022-11-01
529552.3,SE12,2022-12-01
1055165.4,EC4,2022-01-01
1048590.2,EC4,2022-02-01
1045172.2,EC4,2022-03-01
1053606.2,EC4,2022-04-01
1069302.4,EC4,2022-05-01
1069789.5,EC4,2022-06-01
1061910.9,EC4,2022-07-01
1065223.0,EC4,2022-08-01
1079322.8,EC4,2022-09-01
1087145.9,EC4,2022-10-01
1081871.2,EC4,2022-11-01
1079380.2,EC4,2022-12-01
1240431.0,SW11,2022-01-01
1246734.4,SW11,2022-02-01
1250080.1,SW11,2022-03-01
1255330.5,SW11,2022-04-01
1259245.8,SW11,2022-05-01
1264378.8,SW11,2022-06-01
1268365.4,SW11,2022-07-01
1273440.1,SW11,2022-08-01
1277614.2,SW11,2022-09-01
1282505.1,SW11,2022-10-01
1286725.8,SW11,2022-11-01
1291572.5,SW11,2022-12-01
859585.9,TW10,2022-01-01
864796.75,TW10,2022-02-01
881209.4,TW10,2022-03-01
886823.94,TW10,2022-04-01
894736.3,TW10,2022-05-01
900181.94,TW10,2022-06-01
906537.2,TW10,2022-07-01
911969.7,TW10,2022-08-01
917948.06,TW10,2022-09-01
923424.75,TW10,2022-10-01
929086.7,TW10,2022-11-01
934801.44,TW10,2022-12-01
360243.0,RM1,2022-01-01
362094.84,RM1,2022-02-01
363793.88,RM1,2022-03-01
365645.72,RM1,2022-04-01
367446.66,RM1,2022-05-01
369334.56,RM1,2022-06-01
371191.16,RM1,2022-07-01
373100.88,RM1,2022-08-01
375023.6,RM1,2022-09-01
376897.66,RM1,2022-10-01
378847.44,RM1,2022-11-01
380761.47,RM1,2022-12-01
458117.8,E12,2022-01-01
460591.7,E12,2022-02-01
462869.62,E12,2022-03-01
465388.88,E12,2022-04-01
467827.62,E12,2022-05-01
470346.97,E12,2022-06-01
472785.84,E12,2022-07-01
475305.03,E12,2022-08-01
477824.38,E12,2022-09-01
480263.22,E12,2022-10-01
482790.72,E12,2022-11-01
485341.22,E12,2022-12-01
4926807.0,W11,2022-01-01
4928459.5,W11,2022-02-01
4958392.5,W11,2022-03-01
4997192.5,W11,2022-04-01
5038294.5,W11,2022-05-01
5081750.0,W11,2022-06-01
5124282.0,W11,2022-07-01
5168369.0,W11,2022-08-01
5212446.5,W11,2022-09-01
5255297.0,W11,2022-10-01
5299408.0,W11,2022-11-01
5342272.5,W11,2022-12-01
488316.78,IG5,2022-01-01
490540.47,IG5,2022-02-01
491772.88,IG5,2022-03-01
493548.25,IG5,2022-04-01
495817.75,IG5,2022-05-01
497558.72,IG5,2022-06-01
499020.66,IG5,2022-07-01
501261.62,IG5,2022-08-01
503311.47,IG5,2022-09-01
504777.78,IG5,2022-10-01
506801.4,IG5,2022-11-01
509030.12,IG5,2022-12-01
786785.0,NW4,2022-01-01
790465.1,NW4,2022-02-01
794363.44,NW4,2022-03-01
797987.3,NW4,2022-04-01
801818.06,NW4,2022-05-01
806016.25,NW4,2022-06-01
809857.06,NW4,2022-07-01
813535.0,NW4,2022-08-01
817420.75,NW4,2022-09-01
821512.06,NW4,2022-10-01
825587.9,NW4,2022-11-01
829235.8,NW4,2022-12-01
833554.94,HA6,2022-01-01
837111.1,HA6,2022-02-01
840492.94,HA6,2022-03-01
843869.6,HA6,2022-04-01
847674.2,HA6,2022-05-01
850923.2,HA6,2022-06-01
854787.94,HA6,2022-07-01
858046.8,HA6,2022-08-01
861954.0,HA6,2022-09-01
865225.94,HA6,2022-10-01
868960.8,HA6,2022-11-01
872428.44,HA6,2022-12-01
334463.44,SE18,2022-01-01
335871.66,SE18,2022-02-01
337157.88,SE18,2022-03-01
338612.38,SE18,2022-04-01
339970.34,SE18,2022-05-01
341430.2,SE18,2022-06-01
342809.88,SE18,2022-07-01
344419.97,SE18,2022-08-01
345694.38,SE18,2022-09-01
347642.06,SE18,2022-10-01
348683.62,SE18,2022-11-01
350275.78,SE18,2022-12-01
417420.9,DA15,2022-01-01
419403.03,DA15,2022-02-01
421325.5,DA15,2022-03-01
423106.5,DA15,2022-04-01
425213.28,DA15,2022-05-01
427097.78,DA15,2022-06-01
429032.38,DA15,2022-07-01
431138.25,DA15,2022-08-01
432974.56,DA15,2022-09-01
435062.94,DA15,2022-10-01
437060.8,DA15,2022-11-01
439054.78,DA15,2022-12-01
728464.3,BR2,2022-01-01
727802.2,BR2,2022-02-01
733602.25,BR2,2022-03-01
733894.25,BR2,2022-04-01
739111.56,BR2,2022-05-01
740111.06,BR2,2022-06-01
744728.44,BR2,2022-07-01
746252.4,BR2,2022-08-01
750540.2,BR2,2022-09-01
752338.94,BR2,2022-10-01
756298.8,BR2,2022-11-01
758386.06,BR2,2022-12-01
658186.5,E18,2022-01-01
661053.56,E18,2022-02-01
663642.0,E18,2022-03-01
666509.0,E18,2022-04-01
669283.1,E18,2022-05-01
672150.06,E18,2022-06-01
674924.25,E18,2022-07-01
677799.5,E18,2022-08-01
680697.2,E18,2022-09-01
683500.7,E18,2022-10-01
686398.5,E18,2022-11-01
689201.8,E18,2022-12-01
981559.1,SE21,2022-01-01
988204.7,SE21,2022-02-01
994212.2,SE21,2022-03-01
1000857.7,SE21,2022-04-01
1007290.56,SE21,2022-05-01
1013936.0,SE21,2022-06-01
1020369.0,SE21,2022-07-01
1027014.7,SE21,2022-08-01
1033659.94,SE21,2022-09-01
1040092.94,SE21,2022-10-01
1046738.44,SE21,2022-11-01
1053171.1,SE21,2022-12-01
536912.25,HA2,2022-01-01
540454.7,HA2,2022-02-01
541627.94,HA2,2022-03-01
543371.94,HA2,2022-04-01
544991.2,HA2,2022-05-01
546682.75,HA2,2022-06-01
548322.06,HA2,2022-07-01
550134.94,HA2,2022-08-01
551947.94,HA2,2022-09-01
553698.6,HA2,2022-10-01
555511.6,HA2,2022-11-01
557262.3,HA2,2022-12-01
375381.4,SE25,2022-01-01
378239.66,SE25,2022-02-01
379280.9,SE25,2022-03-01
382034.4,SE25,2022-04-01
383291.94,SE25,2022-05-01
385953.8,SE25,2022-06-01
387297.38,SE25,2022-07-01
389878.7,SE25,2022-08-01
391356.75,SE25,2022-09-01
393808.53,SE25,2022-10-01
395352.47,SE25,2022-11-01
397742.44,SE25,2022-12-01
671236.0,BR6,2022-01-01
673945.6,BR6,2022-02-01
676385.25,BR6,2022-03-01
679094.8,BR6,2022-04-01
681714.3,BR6,2022-05-01
684423.94,BR6,2022-06-01
687043.44,BR6,2022-07-01
689752.94,BR6,2022-08-01
692462.56,BR6,2022-09-01
695082.06,BR6,2022-10-01
697791.56,BR6,2022-11-01
700411.1,BR6,2022-12-01
451147.12,N17,2022-01-01
453661.44,N17,2022-02-01
455921.78,N17,2022-03-01
458436.0,N17,2022-04-01
460865.62,N17,2022-05-01
463379.97,N17,2022-06-01
465809.56,N17,2022-07-01
468323.8,N17,2022-08-01
470838.16,N17,2022-09-01
473267.7,N17,2022-10-01
475782.03,N17,2022-11-01
478211.6,N17,2022-12-01
462004.53,RM12,2022-01-01
463087.03,RM12,2022-02-01
464028.44,RM12,2022-03-01
465173.84,RM12,2022-04-01
466427.78,RM12,2022-05-01
467738.47,RM12,2022-06-01
468992.47,RM12,2022-07-01
470303.12,RM12,2022-08-01
471616.97,RM12,2022-09-01
473056.44,RM12,2022-10-01
474580.9,RM12,2022-11-01
476048.38,RM12,2022-12-01
465162.84,SM5,2022-01-01
467322.94,SM5,2022-02-01
469267.88,SM5,2022-03-01
471427.8,SM5,2022-04-01
473516.16,SM5,2022-05-01
475676.16,SM5,2022-06-01
477764.56,SM5,2022-07-01
479924.5,SM5,2022-08-01
482084.56,SM5,2022-09-01
484172.8,SM5,2022-10-01
486332.94,SM5,2022-11-01
488421.25,SM5,2022-12-01
590918.06,TN16,2022-01-01
592990.7,TN16,2022-02-01
595317.1,TN16,2022-03-01
596932.9,TN16,2022-04-01
599387.1,TN16,2022-05-01
601006.25,TN16,2022-06-01
603454.06,TN16,2022-07-01
605092.1,TN16,2022-08-01
607580.6,TN16,2022-09-01
609177.44,TN16,2022-10-01
611648.3,TN16,2022-11-01
613262.5,TN16,2022-12-01
4188810.0,SW3,2022-01-01
4173947.8,SW3,2022-02-01
4182971.8,SW3,2022-03-01
4224697.0,SW3,2022-04-01
4270948.0,SW3,2022-05-01
4296555.0,SW3,2022-06-01
4300622.0,SW3,2022-07-01
4307618.5,SW3,2022-08-01
4333752.5,SW3,2022-09-01
4371900.0,SW3,2022-10-01
4404452.0,SW3,2022-11-01
4420636.0,SW3,2022-12-01
1007658.0,EN4,2022-01-01
1017879.6,EN4,2022-02-01
1019141.4,EN4,2022-03-01
1014881.94,EN4,2022-04-01
1019935.7,EN4,2022-05-01
1029421.8,EN4,2022-06-01
1028974.75,EN4,2022-07-01
1025700.5,EN4,2022-08-01
1032533.06,EN4,2022-09-01
1040732.56,EN4,2022-10-01
1038860.2,EN4,2022-11-01
1036906.4,EN4,2022-12-01
441348.6,TW4,2022-01-01
442726.3,TW4,2022-02-01
443971.44,TW4,2022-03-01
445350.0,TW4,2022-04-01
446684.12,TW4,2022-05-01
448062.7,TW4,2022-06-01
449396.66,TW4,2022-07-01
450775.16,TW4,2022-08-01
452153.84,TW4,2022-09-01
453487.97,TW4,2022-10-01
454866.53,TW4,2022-11-01
456200.66,TW4,2022-12-01
1014903.94,SE1,2022-01-01
1027264.56,SE1,2022-02-01
1041454.5,SE1,2022-03-01
1033410.1,SE1,2022-04-01
1035604.3,SE1,2022-05-01
1052875.6,SE1,2022-06-01
1058675.8,SE1,2022-07-01
1050295.9,SE1,2022-08-01
1059997.0,SE1,2022-09-01
1077634.8,SE1,2022-10-01
1073953.5,SE1,2022-11-01
1069738.6,SE1,2022-12-01
415352.97,UB8,2022-01-01
415763.72,UB8,2022-02-01
417264.25,UB8,2022-03-01
418935.78,UB8,2022-04-01
420531.97,UB8,2022-05-01
421945.3,UB8,2022-06-01
423531.78,UB8,2022-07-01
425170.62,UB8,2022-08-01
426798.34,UB8,2022-09-01
428398.44,UB8,2022-10-01
430029.8,UB8,2022-11-01
431707.44,UB8,2022-12-01
,KT8,2022-01-01
,KT8,2022-02-01
,KT8,2022-03-01
,KT8,2022-04-01
,KT8,2022-05-01
,KT8,2022-06-01
,KT8,2022-07-01
,KT8,2022-08-01
,KT8,2022-09-01
,KT8,2022-10-01
,KT8,2022-11-01
,KT8,2022-12-01
509278.06,E2,2022-01-01
510950.16,E2,2022-02-01
513079.78,E2,2022-03-01
514436.7,E2,2022-04-01
516342.4,E2,2022-05-01
518945.38,E2,2022-06-01
520541.38,E2,2022-07-01
522398.72,E2,2022-08-01
525011.75,E2,2022-09-01
526844.7,E2,2022-10-01
528698.0,E2,2022-11-01
531222.06,E2,2022-12-01
726620.2,NW10,2022-01-01
731953.25,NW10,2022-02-01
736910.75,NW10,2022-03-01
742581.44,NW10,2022-04-01
748106.56,NW10,2022-05-01
753836.9,NW10,2022-06-01
759651.2,NW10,2022-07-01
765631.44,NW10,2022-08-01
771611.7,NW10,2022-09-01
777426.1,NW10,2022-10-01
783406.56,NW10,2022-11-01
789221.0,NW10,2022-12-01
1321194.2,W4,2022-01-01
