Borough,lr,dropout_rate,n_layers,n_units_l0,n_units_l1,n_units_l2
HA6,0.06014992161730090,0.4030792874965600,3,104,76.0,16.0
SE13,0.020280465126208300,0.18269581259839100,3,84,105.0,126.0
SE4,0.04215634211390730,0.0915634929132823,2,97,94.0,
NW6,0.03713928427814650,0.05604394273598650,3,23,78.0,68.0
HA1,0.04848270602125320,0.11165674119706400,2,128,62.0,
SE3,0.009569037907733520,0.00863398331707553,3,28,51.0,42.0
SE14,0.056510014816389000,0.03900466686691700,2,74,102.0,
SW16,0.029110716198697800,0.04600666757789630,3,39,50.0,43.0
NW10,0.04115473013320940,0.03464216332448650,2,88,40.0,
SW11,0.027756257012712500,0.05710220705071270,3,23,114.0,70.0
UB2,0.034749818502439700,0.050939223170740100,3,45,40.0,83.0
EN5,0.004685190473928280,0.01583184429421720,2,22,81.0,
UB5,0.0989675938117214,0.025913199936876700,2,49,66.0,
EN2,0.026365023455860900,0.056546825705077700,3,100,70.0,64.0
SE24,0.09997535631675530,0.1444898186933100,3,23,37.0,72.0
E14,0.06065431697718790,0.004132177887712140,2,83,80.0,
SE23,0.00494000092583321,0.006217704392437130,3,36,57.0,17.0
E13,0.009628937952401720,0.07766559950231540,3,127,82.0,121.0
TW4,0.026439041267331200,0.313321435741306,3,50,103.0,71.0
N3,0.08799277923487030,0.2317280068024270,3,93,45.0,33.0
N4,0.004178313922033080,0.21310973989573500,3,82,128.0,16.0
SE15,0.007055094481480890,0.0425630608994641,2,64,124.0,
NW7,0.06463155008034500,0.19571278532515100,3,26,79.0,31.0
HA0,0.004530476672049370,0.10133127447489200,2,35,84.0,
SE5,0.010025673624548700,0.1438487669397130,3,109,40.0,53.0
SE12,0.003462440507093390,0.06883616735934500,3,37,33.0,71.0
TW10,0.018790628118770100,0.0028003852053177900,3,41,70.0,81.0
HA7,0.010143177490400100,0.11553253709447200,2,69,49.0,
W10,0.09184361679983010,0.18518108765614600,3,78,83.0,24.0
SW20,0.0002448686586570650,0.17069825953984900,2,98,58.0,
SW4,0.06045516667180710,0.04690830944961510,2,63,73.0,
N18,0.03604046728656870,0.2421146417851640,3,46,122.0,128.0
IG5,0.09750045341331340,0.030948198703882800,2,113,103.0,
SW3,0.07812506349890590,0.004896196310565930,2,125,126.0,
IG2,0.0484728264578634,0.1419023304192960,3,106,78.0,83.0
SW13,0.09305139165521420,0.23531215293300700,3,27,99.0,53.0
SW14,0.04357763775229650,0.3070486715708890,2,108,86.0,
E11,0.023501780396422300,0.0009355376937447140,3,19,19.0,53.0
SE21,0.04972313643679700,0.44675716220460600,2,56,31.0,
