Date,Difference,Predicted_Price,Lower_Confidence_Interval,Upper_Confidence_Interval,borough
2022-02-28,627.9558258966197,435602.95582589664,383965.3476250175,488344.67937462986,N17
2022-03-31,1807.9693257202969,436782.9693257203,383965.34762475366,488344.67937489366,N17
2022-04-30,2987.9828255439734,437962.982825544,383965.34762448986,488344.67937515746,N17
2022-05-31,4167.996325367651,439142.99632536765,383965.34762422607,488344.6793754213,N17
2022-06-30,5348.009825191328,440323.00982519134,383965.3476239622,488344.6793756851,N17
2022-07-31,6528.023325015005,441503.023325015,383965.3476236984,488344.6793759489,N17
2022-08-31,7708.036824838682,442683.03682483867,383965.3476234346,488344.6793762128,N17
2022-09-30,8888.05032466236,443863.0503246624,383965.3476231708,488344.67937647656,N17
2022-10-31,10068.063824486037,445043.0638244861,383965.34762290696,488344.6793767403,N17
2022-11-30,11248.077324309714,446223.07732430974,383965.3476226432,488344.67937700415,N17
2022-12-31,12428.090824133393,447403.09082413337,383965.34762237937,488344.679377268,N17
2022-01-31,-20146.381175085473,476723.6188249145,423486.98163644713,529960.2560133819,E3
2022-02-28,-18878.177270958975,477991.82272904104,431036.8428589571,565239.5649492958,E3
2022-03-31,-17609.973366832477,479260.0266331675,431036.8428589568,565239.5649492962,E3
2022-04-30,-16341.76946270598,480528.230537294,431036.8428589565,565239.5649492965,E3
2022-05-31,-15073.56555857948,481796.43444142054,431036.84285895614,565239.5649492969,E3
2022-06-30,-13805.361654452983,483064.638345547,431036.84285895585,565239.5649492971,E3
2022-07-31,-12537.157750326483,484332.8422496735,431036.8428589555,565239.5649492975,E3
2022-08-31,-11268.953846199987,485601.0461538,431036.84285895515,565239.5649492978,E3
2022-09-30,-10000.74994207349,486869.2500579265,431036.8428589548,565239.5649492982,E3
2022-10-31,-8732.546037946991,488137.453962053,431036.8428589545,565239.5649492985,E3
2022-11-30,-7464.342133820493,489405.6578661795,431036.84285895416,565239.5649492989,E3
2022-12-31,-6196.1382296939955,490673.861770306,431036.84285895387,565239.5649492991,E3
2022-01-31,12619.589397628011,512360.4984885371,473436.7976722912,551284.199304783,E4
2022-02-28,13554.780747343832,513295.68983825296,454779.76677548426,546572.4341057657,E4
2022-03-31,16023.03879734427,515763.9478882534,456293.0867119138,548125.2475699052,E4
2022-04-30,18145.371953919035,517886.2810448281,455946.0185571005,547780.4659378673,E4
2022-05-31,19597.27980777836,519338.1888986875,455173.0461003688,547212.5877891681,E4
2022-06-30,21704.426256103536,521445.3353470127,455749.6895216848,547946.4215567837,E4
2022-07-31,23079.040784730365,522819.94987563946,454939.0490689748,547291.9981700971,E4
2022-08-31,25134.994609039477,524875.9036999486,455542.08150339714,548051.6443270394,E4
2022-09-30,26533.91157371783,526274.8206646269,454825.9194785251,547453.7326326498,E4
2022-10-31,28549.821541952377,528290.7306328615,455378.4608198013,548135.177298486,E4
2022-11-30,29981.86414782479,529722.7732387339,454748.9376142792,547596.9657792839,E4
2022-12-31,31964.028404077493,531704.9374949866,455247.25995647913,548198.8867378446,E4
2022-01-31,7800.13348593873,374703.0679121682,347924.3359423476,401481.7998819889,CR0
2022-02-28,8435.262749719288,375338.1971759488,336173.3906459891,398902.73673403106,CR0
2022-03-31,8737.77818782143,375640.71261405095,335837.23780382756,398573.6619248357,CR0
