Date,Predicted_Price,rmse,mae,borough
2022-05-31,757181.56,106623.56063383276,64237.563996274366,SE24
2022-06-30,749877.8,106623.56063383276,64237.563996274366,SE24
2022-07-31,745294.7,106623.56063383276,64237.563996274366,SE24
2022-08-31,736808.94,106623.56063383276,64237.563996274366,SE24
2022-09-30,757181.56,106623.56063383276,64237.563996274366,SE24
2022-10-31,734553.25,106623.56063383276,64237.563996274366,SE24
2022-11-30,733728.56,106623.56063383276,64237.563996274366,SE24
2022-12-31,734553.25,106623.56063383276,64237.563996274366,SE24
2022-01-31,491202.4,49573.36562518309,29363.640929054058,TW5
2022-02-28,501338.5,49573.36562518309,29363.640929054058,TW5
2022-03-31,486235.28,49573.36562518309,29363.640929054058,TW5
2022-04-30,498211.44,49573.36562518309,29363.640929054058,TW5
2022-05-31,491294.38,49573.36562518309,29363.640929054058,TW5
2022-06-30,491029.16,49573.36562518309,29363.640929054058,TW5
2022-07-31,491294.38,49573.36562518309,29363.640929054058,TW5
2022-08-31,488416.0,49573.36562518309,29363.640929054058,TW5
2022-09-30,491294.38,49573.36562518309,29363.640929054058,TW5
2022-10-31,489687.34,49573.36562518309,29363.640929054058,TW5
2022-11-30,491294.38,49573.36562518309,29363.640929054058,TW5
2022-12-31,484561.1,49573.36562518309,29363.640929054058,TW5
2022-01-31,357138.1,37247.02021519511,22117.159220228357,CR4
2022-02-28,357014.94,37247.02021519511,22117.159220228357,CR4
2022-03-31,359234.34,37247.02021519511,22117.159220228357,CR4
2022-04-30,360187.28,37247.02021519511,22117.159220228357,CR4
2022-05-31,359749.66,37247.02021519511,22117.159220228357,CR4
2022-06-30,358103.97,37247.02021519511,22117.159220228357,CR4
2022-07-31,358336.9,37247.02021519511,22117.159220228357,CR4
2022-08-31,356943.4,37247.02021519511,22117.159220228357,CR4
2022-09-30,357115.3,37247.02021519511,22117.159220228357,CR4
2022-10-31,349231.8,37247.02021519511,22117.159220228357,CR4
2022-11-30,351154.56,37247.02021519511,22117.159220228357,CR4
2022-12-31,355799.88,37247.02021519511,22117.159220228357,CR4
2022-01-31,545184.94,58326.231143825105,32284.726114392317,SE13
2022-02-28,545375.6,58326.231143825105,32284.726114392317,SE13
2022-03-31,545184.94,58326.231143825105,32284.726114392317,SE13
2022-04-30,545184.94,58326.231143825105,32284.726114392317,SE13
2022-05-31,545184.94,58326.231143825105,32284.726114392317,SE13
2022-06-30,545048.25,58326.231143825105,32284.726114392317,SE13
2022-07-31,568481.5,58326.231143825105,32284.726114392317,SE13
2022-08-31,545069.94,58326.231143825105,32284.726114392317,SE13
2022-09-30,538272.75,58326.231143825105,32284.726114392317,SE13
2022-10-31,538272.75,58326.231143825105,32284.726114392317,SE13
2022-11-30,538272.75,58326.231143825105,32284.726114392317,SE13
2022-12-31,538272.75,58326.231143825105,32284.726114392317,SE13
2022-01-31,396108.2,47047.479517700376,26801.58810177365,E16
