,BuildDate,Price,EnergyEfficiency,HouseSize,NumOfRms,PricePer,BuildDate,predicted_mean
39,1900.0,-0.7743117076966586,-0.4104470392142274,-0.13761439826357097,-0.1471170391672397,-1.2152075568491192,0.5140895861318633,
40,1929.0,-0.9006108653139667,0.23270250949433371,0.16975563659872556,-1.1145310710918859,-1.4444864710412928,0.5350023027342987,
41,1900.0,-0.7600219857730293,0.23270250949433371,-0.567878664037564,0.8202969927574064,-1.09540203643683,0.4657289289887311,
43,1995.0,-0.7501291013643628,-0.4104470392142274,-0.6364520313952942,0.8202969927574064,-1.0505601160822657,0.4657289289887311,
44,1949.0,-0.8248753391187315,0.956245751791465,0.13130076784517475,-0.1471170391672397,-1.3282243836351824,0.5258529892207332,
47,1929.0,-0.7907998483777693,-0.169265958448517,-0.7830107969245607,-1.1145310710918859,-1.1055147543802923,0.4657289289887311,
50,1900.0,-0.7940974765139914,-0.08887226485994684,-0.9384437629354158,-1.1145310710918859,-1.0558382690177732,0.4657289289887311,
51,1900.0,-0.7633196139092514,-0.24965965203708712,-0.056939848430947244,-0.1471170391672397,-1.2086644774036097,0.42782463014681665,
53,1990.0,-0.6566963041714021,-0.008478571271376705,0.04874381184979,-0.1471170391672397,-1.0545712367029112,-2.0555604663924023,
56,1929.0,-0.8028911515439172,-2.01832091098563,-0.7292277637028115,-1.1145310710918859,-1.1542243458079702,0.4918698247417755,
59,1966.0,-0.8578516204809529,-0.008478571271376705,-0.9766297165228577,-0.1471170391672397,-1.247417655466839,0.4657289289887311,
60,1975.0,-0.7127559824871785,-0.33005334562565725,-0.21828894809619467,-0.1471170391672397,-1.089397610157899,0.4657289289887311,
62,1966.0,-0.6116287196430328,-0.08887226485994684,4.864207691359099,3.7225390885313447,-1.3435133742018794,0.42782463014681665,
64,1982.0,-0.8490579454510272,0.8758520582028948,-0.4065295643723167,-0.1471170391672397,-1.32041001067887,0.5140895861318633,
66,1929.0,-0.8006949312051932,0.07191512231719344,-0.514095630815815,-0.1471170391672397,-1.2003979029028273,0.42782463014681665,
68,1929.0,-0.8490579454510272,0.393489896671474,0.3464329007321713,0.8202969927574064,-1.3770412311622602,0.5258529892207332,
71,1929.0,-0.6555970947926614,-0.8928092007456483,2.0137069306063946,2.755125056606699,-1.271291094953481,0.4657289289887311,
72,1975.0,-0.8336690141486572,-0.6516281199799379,-0.030048331820072677,-1.1145310710918859,-1.328884753180786,0.42782463014681665,
73,1990.0,-0.8061887796801394,0.7954583646143247,0.26844750256063493,1.7877110246820527,-1.3117199710818996,0.5350023027342987,
74,1900.0,-0.7798077545903622,0.956245751791465,-0.514095630815815,-1.1145310710918859,-1.1541702841082728,0.4657289289887311,
77,1929.0,-0.7973951046502136,-0.7320218135685079,-0.08248678921127817,-0.1471170391672397,-1.2626481575738506,0.5140895861318633,
79,1900.0,-0.6358113259753285,-0.8124155071570781,0.42710745056479504,0.8202969927574064,-1.0967235848044412,0.4657289289887311,
83,1900.0,-0.7138551918659193,1.2778205261457456,-0.7824729665923431,-1.1145310710918859,-0.8958944722949023,-2.0555604663924023,
85,1929.0,-0.7325417513045115,-0.33005334562565725,-0.24518046470706925,1.7877110246820527,-1.1198411048001988,0.4657289289887311,
86,1900.0,-0.8160816640888058,-1.6163524430427796,-0.5194739341379899,-1.1145310710918859,-1.2334751115398999,0.4657289289887311,
88,0.0,-0.8556532017234715,0.393489896671474,-0.567878664037564,-1.1145310710918859,-1.315353651707139,0.5258529892207332,
89,0.0,-0.8600500392384344,-0.08887226485994684,-0.7792459845990382,-1.1145310710918859,-1.2950649234269658,0.5258529892207332,
91,1900.0,-0.7699148701816957,-1.1339902815113587,0.13130076784517475,-0.1471170391672397,-1.2444989591032687,0.42782463014681665,
92,1929.0,-0.9106136706605072,-0.8124155071570781,-0.299501328261036,0.8202969927574064,-1.4500378740387732,0.4657289289887311,
96,1949.0,-0.6907717949123643,-0.4104470392142274,-0.06957886123805826,-0.1471170391672397,-1.084355931935015,0.42782463014681665,
