RMSE,MAE,borough
179340.99428087234,147700.14834761937,W9
47645.278035759475,36897.690674975034,RM6
170839.75604694046,149766.2477611934,E3
28592.580632128294,26724.166666666664,DA18
75693.76084012016,58356.46888864396,N15
75598.23904749489,61214.05377433417,DA5
80391.75810274956,62905.335878493024,KT2
256695.35077371376,221020.6870346988,NW7
76805.78023316007,60843.70068806895,BR1
109283.582552723,85479.53887310153,N5
329619.34058867506,270432.387650558,SW6
61883.6521203631,51241.15263677761,UB7
81985.96891787261,67436.40932641986,SE10
112808.2115572042,97596.97339658336,E11
35914.006054545665,29027.524382174648,SM1
116182.87516301866,98725.86529917872,HA4
65042.81134814749,46700.98894592066,TW3
50887.17572695787,41066.48499987357,IG6
120904.79544979696,99858.09525273793,SE22
50151.814552274256,39771.801364043065,SM4
68560.42605800033,52182.41083323676,E14
50747.86274195087,39442.90177305564,SE9
70922.89934291648,55537.24978895565,UB2
1039149.5835262547,755515.6058781868,SW3
110694.78113208224,95441.67368114144,SE15
60817.75546347906,45625.60001750213,IG1IG4
134762.69529567726,105530.48648740113,BR4
376373.71716636413,297341.6228450077,TW10
72366.44357445979,59351.48376018563,SW19
81543.80974882406,68619.96315643677,NW2
125512.9630115624,105082.88213576132,N19
180212.44284926815,147225.47018422736,SE27
72997.63070172345,55042.70129008628,IG3
129192.81285099506,108724.9097628822,W5
112027.1850919033,94327.62458498307,HA1
109430.36907319092,96512.35759233047,DA14
172765.5210389018,145392.44443053292,N22
49464.832272316,38705.92046650456,RM11
521330.8992448905,428016.9934976032,W11
658495.016864744,522342.2674884405,SW10
45737.15252623086,37785.16472083146,N9
170529.13406257806,144185.62267952054,N10
96885.73508290212,79175.55805017956,RM3
59878.29445109627,42825.245848400395,E6
67237.82289861096,54722.41047656949,HA8
74348.92109855251,53397.01538246185,SE7
83357.1053129649,68452.26127258448,SW17
199424.29905656425,159234.5578029363,EN4
88696.84585959032,72184.54207889899,DA7
70445.84049839021,60794.13482953201,N17
82511.58870347528,72835.21554284368,CR4
131349.71284978688,114958.8340787116,TW8
121880.33838072247,102292.94625938984,E1
69751.78859694453,54376.31306540007,SM3
122291.98581184392,103788.50812977896,SE12
121248.34917228878,108195.92804700664,UB5
97560.91671608773,80904.49877459131,SW4
88192.52834906113,70157.07660454718,E13
87326.805076626,73098.86466871075,BR3
81115.03215619309,66269.73005869768,N7
866404.8215967207,602813.595029229,WC2
198857.76781887715,163763.7856526607,NW5
78004.91734212452,64470.801409969856,EN3EN8
69240.62237744471,50389.85852191774,TN16
49214.3526926182,38165.77381920363,SE20
53832.69577164979,43253.96034431448,KT9
193249.9696650479,154827.90041956486,HA6
108229.8456501645,89156.654304865,E8
130244.69878051954,81954.46608221317,TW1
390023.0471543629,286469.61332790845,W2
99779.93822939822,79410.25292372762,TW12
1122398.6058087463,516296.46458248346,N2
67609.60236147536,57068.219768227675,BR6
227384.6472297756,209472.15328149256,E16
146589.8842922528,117950.44299922434,SE17
710291.8928860484,577444.5825401673,SW1
130394.3561819243,111089.8384378965,SM6
158199.52362748655,135006.06196654803,DA16
86036.65013339352,73585.43629186049,TW4
74159.1036701885,62534.0053705607,W7
131715.5000543692,109400.55122226052,HA3
75372.03411911869,61224.65908846979,RM8
109318.16150168687,92099.02077200657,SE25
62967.544383025874,48474.39531911488,CR8
55132.09800111514,44761.43331126544,EN1
69648.28174254799,56613.04810655492,NW10
84169.93162044208,64267.1805050542,W13
87248.70408848852,75790.40897861823,NW9
86997.25722078739,72236.68089575763,SW12
498479.9906818886,368043.2026997572,EC2
68483.18864768298,54464.44635176788,RM13
156056.68767744245,127116.47099544005,SW8
67480.14014809583,51279.078564760595,UB9
42604.817309871905,35051.33903884381,SE2
154480.82853418775,98850.36377402792,N20
100583.43572198274,85310.43007732734,E4
82633.06717875839,72987.89123275377,RM1
90450.67253426903,67272.14926163362,IG8
145658.038178706,112479.37047049764,SW20
196400.14716132768,172017.91798282953,N12
82368.52632663253,64184.49278860625,KT5
61650.98353196468,52412.51180806849,DA1
65332.33501848037,52049.56854701208,N11
53354.8136224371,41866.61944848216,CR2
61943.663047171525,49680.34217864589,KT6
145723.7487306571,120921.44881519684,HA9
66322.62757911718,50330.53444843361,E7
65206.44906777097,49924.10919980886,RM2
87938.77252848596,74282.31079196808,RM10
263297.1570454358,178464.24093971847,EC1
603880.9474480718,544131.7526202876,SE1
100509.63246502554,82655.87139227774,N8
89559.06518262833,75980.78351767744,EN2
186583.92839590603,144057.33834536548,SW11
608063.207965803,541917.47181523,W10
152957.13606559782,133028.39760366306,SE26
61671.925750267874,50766.97057297695,N18
58750.0776659648,47883.58362360452,DA8
47816.64535977166,37098.059411543334,DA15
77635.51616761588,66302.65865831745,HA0
103570.51558913443,79077.17615142232,W4
50750.02367245025,39424.35591579685,IG2
182584.40789281193,157311.70004092134,TW7
106957.2653241722,89572.95860788133,SE14
55744.91025478092,44292.43721100289,UB3
125499.51170707463,106582.74348209109,SW2
89747.40401435025,75983.76030727423,SE8
73688.32439938195,60122.46553051466,SM5
307210.85820911685,254885.67778870676,NW3
150472.25702415107,127229.7387576176,SW18
145501.99083166072,111603.7463920489,TW11
161485.46676935945,121113.727984848,N1
2010277.0736070508,1605257.1060593,W1
127690.30052069164,105922.00951552896,IG7
76749.22801896761,60307.49301985651,TW2
63821.84930669987,49028.8728022619,HA5
41140.77181044939,33831.12611606424,IG11
164380.17388450546,145336.03007026162,SE23
138177.8642233315,116484.1524277701,N4
252284.00772117756,191504.18093514876,WC1
124558.36299409304,97112.32519516358,NW6
105562.81309558002,88029.04086003374,E15E20
187776.7632562521,162579.7364423232,E10
158035.60767615185,126571.759133303,SE11
1245025.389048471,1002585.3457094248,SW7
72457.5853435553,59925.46126112127,UB6
177744.03554700033,151507.27261140954,E2
32542.09796025102,26211.644755093777,RM7
1133373.2354676423,841460.0493630905,W8
63733.69894383321,47011.9638928233,KT3
112436.37604219954,90974.15884191608,CR7
131282.93197423534,100429.59136098067,N14
211063.150915161,169400.93799721877,SW14
59783.674527003895,49570.34492569689,BR5BR8
70186.06041565034,54306.08383804243,SE18
138112.4213380865,116634.34655578142,SE4
385546.3714757492,300247.06995840895,EC4
