ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{2A289E9F-11EE-CDC8-E050-A8C063054829},49500,1995-02-10 00:00,CR2 7DW,F,L,"WENDERHOLME COURT, 68",FLAT 9,SOUTH PARK HILL ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,883.928571428571,3.0,56.0,66.0,1975.0,CR2,1995
{B51046EF-2F47-4DC9-9411-E6B17179C22B},120000,1995-02-10 00:00,CR2 9HF,D,F,19,,MITCHLEY HILL,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1224.48979591837,5.0,98.0,39.0,1949.0,CR2,1995
{BF4B61EE-9711-4BE6-A92E-B07552D8C3FD},107000,1995-02-16 00:00,CR2 9JU,S,F,38,,WESTFIELD AVENUE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1000.0,6.0,107.0,43.0,1949.0,CR2,1995
{2A289E9F-C880-CDC8-E050-A8C063054829},42000,1995-02-17 00:00,CR2 7QA,F,L,11,,LISMORE ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,649.451059223751,3.0,64.67,57.0,1900.0,CR2,1995
{47911315-39F0-49A0-A415-874EBB3D268D},51500,1995-02-17 00:00,CR2 7DS,F,L,8,,BIRCHEND CLOSE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1192.9580727357,3.0,43.17,67.0,1990.0,CR2,1995
{9C1F6E43-3B34-4674-B199-AF6F1CFE77B1},52000,1995-02-17 00:00,CR2 0BJ,F,L,57A,,MAYFIELD ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,712.328767123288,3.0,73.0,56.0,1949.0,CR2,1995
{0EBBD5FF-D068-402A-A396-41031667C912},64950,1995-02-17 00:00,CR2 6HU,T,F,18,,JARVIS ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,811.875,5.0,80.0,32.0,1929.0,CR2,1995
{2A289E9F-6655-CDC8-E050-A8C063054829},45000,1995-02-17 00:00,CR2 7EN,F,L,14,FLAT 3,CAMPDEN ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,833.333333333333,1.0,54.0,80.0,1975.0,CR2,1995
{2A289E9F-1A22-CDC8-E050-A8C063054829},44500,1995-02-19 00:00,CR2 6AE,F,L,140,,BRIGHTON ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,872.549019607843,3.0,51.0,58.0,1929.0,CR2,1995
{E7478E84-0871-4CA5-97FE-C4E38BED5D2F},54500,1995-02-23 00:00,CR2 6DF,F,L,211,,PAMPISFORD ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,893.44262295082,3.0,61.0,68.0,1966.0,CR2,1995
