Ward Code,Ward Name,AvPTAI2015,PTAL
E05000114,Cray Valley East,1.601509,0
E05000346,Bedfont,2.376682,0
E05000353,Hanworth,3.334375,1
E05000350,Cranford,4.240741,1
E05000364,Syon,8.191489,2
E05000357,Heston West,3.483029,1
E05000356,Heston East,4.937799,1
E05000363,Osterley and Spring Grove,3.734921,1
E05000347,Brentford,7.867508,2
E05000348,Chiswick Homefields,6.423423,2
E05000352,Feltham West,2.637224,1
E05000354,Hanworth Park,4.794038,1
E05000351,Feltham North,7.529412,2
E05000359,Hounslow Heath,5.733577,2
E05000361,Hounslow West,12.420732,3
E05000355,Heston Central,7.137725,2
E05000360,Hounslow South,4.619318,1
E05000362,Isleworth,4.317308,1
E05000358,Hounslow Central,19.494253,4
E05000349,Chiswick Riverside,5.860577,2
E05000365,Turnham Green,14.225989,3
E05000186,Norwood Green,3.688654,1
E05000190,Southall Green,7.067901,2
E05000185,Northolt West End,3.727794,1
E05000172,Dormers Wells,7.696833,2
E05000177,Greenford Broadway,8.948617,2
E05000183,North Greenford,4.674699,1
E05000182,Northfield,9.548387,2
E05000175,East Acton,12.104019,3
E05000189,Southall Broadway,8.79375,2
E05000176,Elthorne,8.99005,2
E05000192,Walpole,12.455172,3
E05000181,Lady Margaret,5.908497,2
E05000184,Northolt Mandeville,7.97482,2
E05000180,Hobbayne,7.311404,2
E05000171,Cleveland,7.309091,2
E05000178,Greenford Green,7.332335,2
E05000187,Perivale,6.204748,2
E05000174,Ealing Common,12.15566,3
E05000173,Ealing Broadway,19.983871,4
E05000188,South Acton,15.40678,4
E05000191,Southfield,9.802817,2
E05000170,Acton Central,8.123596,2
E05000179,Hanger Hill,10.487879,3
E05000323,Upminster,1.001332,0
E05000318,Rainham and Wennington,0.85003,0
E05000321,South Hornchurch,2.705968,1
E05000308,Elm Park,3.553425,1
E05000306,Brooklands,5.864929,2
E05000319,Romford Town,16.020833,4
E05000316,Mawneys,4.296053,1
E05000317,Pettits,3.24173,1
E05000311,Hacton,5.417004,2
E05000320,St. Andrew's,8.854478,2
E05000309,Emerson Park,2.509761,1
E05000322,Squirrel's Heath,6.387218,2
E05000312,Harold Wood,2.211921,0
E05000307,Cranham,3.115854,1
E05000313,Havering Park,1.092857,0
E05000314,Heaton,2.997093,1
E05000310,Gooshays,1.943299,0
E05000315,Hylands,3.568966,1
E05000331,Heathrow Villages,3.98766,1
E05000330,Harefield,0.583879,0
E05000342,West Drayton,3.783237,1
E05000345,Yiewsley,4.2134,1
E05000341,Uxbridge South,4.725806,1
E05000326,Brunel,5.969605,2
E05000340,Uxbridge North,4.993562,1
E05000332,Hillingdon East,2.143251,0
E05000333,Ickenham,2.340909,0
E05000343,West Ruislip,4.144144,1
E05000335,Northwood,2.39782,0
E05000338,South Ruislip,3.165997,1
E05000334,Manor,8.668342,2
E05000329,Eastcote and East Ruislip,3.103704,1
E05000336,Northwood Hills,3.927492,1
E05000337,Pinkwell,5.122302,2
E05000325,Botwell,6.336406,2
E05000328,Charville,3.535836,1
E05000339,Townfield,5.525714,2
E05000324,Barnhill,4.577465,1
E05000344,Yeading,2.858974,1
E05000327,Cavendish,4.646465,1
E05000302,Roxeth,8.409091,2
E05000289,Harrow on the Hill,7.297753,2
E05000297,Pinner,3.003021,1
E05000298,Pinner South,4.457265,1
E05000288,Greenhill,20.027933,5
E05000292,Headstone North,5.027027,2
E05000296,Marlborough,11.715152,3
E05000290,Harrow Weald,3.31441,1
E05000303,Stanmore Park,2.38,0
E05000286,Canons,3.298561,1
E05000300,Rayners Lane,9.235294,2
E05000301,Roxbourne,7.006579,2
E05000305,West Harrow,10.006623,3
E05000291,Hatch End,3.662539,1
E05000293,Headstone South,8.144828,2
E05000295,Kenton West,6.892045,2
E05000304,Wealdstone,8.661157,2
E05000285,Belmont,3.642458,1
E05000294,Kenton East,5.382813,2
E05000299,Queensbury,5.098765,2
E05000287,Edgware,7.5,2
E05000096,Northwick Park,7.528302,2
E05000104,Wembley Central,14.701863,3
E05000097,Preston,8.843882,2
E05000100,Stonebridge,8.007407,2
E05000103,Welsh Harp,5.296137,2
E05000086,Barnhill,6.592593,2
E05000090,Fryent,5.187266,2
E05000101,Sudbury,9.336538,2
E05000085,Alperton,7.663415,2
E05000092,Kensal Green,14.070175,3
E05000091,Harlesden,12,3
E05000105,Willesden Green,12.352941,3
E05000098,Queens Park,17.437086,4
E05000087,Brondesbury Park,11.188235,3
E05000094,Kilburn,21.11828,5
E05000102,Tokyngton,9.864286,2
E05000093,Kenton,6.451327,2
E05000089,Dudden Hill,10.094118,3
E05000088,Dollis Hill,5.876068,2
E05000095,Mapesbury,13.20979,3
E05000099,Queensbury,7.788177,2
E05000060,Underhill,4.12,1
E05000056,High Barnet,2.548854,1
E05000062,West Hendon,9.833828,2
E05000053,Golders Green,9.510067,2
E05000046,Colindale,6.137405,2
E05000045,Childs Hill,14.141479,3
E05000052,Garden Suburb,5.289641,2
E05000051,Finchley Church End,6.937729,2
E05000049,East Finchley,4.7251,1
E05000050,Edgware,4.77957,1
E05000057,Mill Hill,3.086957,1
E05000054,Hale,3.332103,1
E05000059,Totteridge,3.235429,1
E05000058,Oakleigh,7.720721,2
E05000063,Woodhouse,6.313208,2
E05000047,Coppetts,6.505535,2
E05000043,Brunswick Park,5.77709,2
E05000048,East Barnet,5.122995,2
E05000044,Burnt Oak,11.270531,3
E05000055,Hendon,5.926316,2
E05000061,West Finchley,11.061905,3
E05000431,Streatham South,11.700599,3
E05000428,St. Leonard's,22.165517,5
E05000432,Streatham Wells,13.266667,3
E05000424,Knight's Hill,12.613793,3
E05000433,Thornton,9.92381,2
E05000430,Streatham Hill,19.65873,4
E05000418,Clapham Common,15.176923,4
E05000417,Brixton Hill,18.208696,4
E05000435,Tulse Hill,15.287129,4
E05000420,Coldharbour,26.966667,6
E05000421,Ferndale,29,6
E05000425,Larkhall,19.838095,4
E05000426,Oval,35.857143,6
E05000436,Vassall,14.408696,3
E05000422,Gipsy Hill,10.700637,3
E05000434,Thurlow Park,18.038961,4
E05000423,Herne Hill,15.62439,4
E05000416,Bishop's,83.457516,7
E05000419,Clapham Town,20.522124,5
E05000429,Stockwell,22.340909,5
E05000427,Prince's,31.694215,6
E05000538,College,7.055385,2
E05000548,Riverside,31.819549,6
E05000554,Village,9.717857,2
E05000551,South Camberwell,14.53125,3
E05000539,East Dulwich,12.627451,3
E05000547,Peckham Rye,8.361233,2
E05000535,Camberwell Green,22.135417,5
E05000534,Brunswick Park,14.333333,3
E05000553,The Lane,25.669014,6
E05000545,Nunhead,13.984848,3
E05000546,Peckham,15.072289,4
E05000544,Newington,29.135802,6
E05000541,Faraday,15.428571,4
E05000540,East Walworth,26.434783,6
E05000543,Livesey,12.131034,3
E05000550,South Bermondsey,11.424242,3
E05000536,Cathedrals,80.867816,7
E05000542,Grange,31.421488,6
E05000549,Rotherhithe,20.701987,5
E05000552,Surrey Docks,8.074074,2
E05000537,Chaucer,56.158537,7
E05000437,Bellingham,6.153595,2
E05000453,Telegraph Hill,19.831169,4
E05000442,Downham,7.347107,2
E05000454,Whitefoot,5.941176,2
E05000438,Blackheath,17.776824,4
E05000452,Sydenham,12.355556,3
E05000444,Forest Hill,11.545455,3
E05000450,Perry Vale,9.029412,2
E05000451,Rushey Green,17.631285,4
E05000440,Catford South,9.508021,2
E05000441,Crofton Park,11.781609,3
E05000446,Ladywell,14.45,3
E05000448,Lewisham Central,25.165829,6
E05000439,Brockley,22.845238,5
E05000449,New Cross,16.934426,4
E05000445,Grove Park,8.092437,2
E05000447,Lee Green,10.225275,3
E05000443,Evelyn,8.174157,2
E05000224,Middle Park and Sutcliffe,5.285276,2
E05000217,Coldharbour and New Eltham,6.595331,2
E05000219,Eltham South,7.511879,2
E05000227,Shooters Hill,4.122667,1
E05000225,Peninsula,9.706935,2
E05000230,Woolwich Riverside,14.550459,3
E05000222,Greenwich West,12.952899,3
E05000220,Eltham West,9.131148,2
E05000215,Blackheath Westcombe,10.130841,3
E05000223,Kidbrooke with Hornfair,4.684874,1
E05000218,Eltham North,8.698473,2
E05000216,Charlton,11.8867,3
E05000229,Woolwich Common,12.426415,3
E05000226,Plumstead,7.116379,2
E05000221,Glyndon,11.987952,3
E05000228,Thamesmead Moorings,4.443299,1
E05000214,Abbey Wood,7.041045,2
E05000078,Longlands,6.034221,2
E05000066,Blackfen and Lamorbey,3.439759,1
E05000072,Cray Meadows,2.0625,0
E05000083,Sidcup,7.692593,2
E05000081,St. Mary's,4.874715,1
E05000071,Crayford,3.471033,1
E05000079,North End,2.499109,0
E05000075,Erith,4.158996,1
E05000065,Belvedere,4.310345,1
E05000084,Thamesmead East,2.662551,1
E05000076,Falconwood and Welling,6.738095,2
E05000074,East Wickham,6.341014,2
E05000067,Blendon and Penhill,3.401914,1
E05000073,Danson Park,5.833333,2
E05000069,Christchurch,9.478599,2
E05000082,St. Michael's,3.910345,1
E05000068,Brampton,6.929293,2
E05000080,Northumberland Heath,3.534091,1
E05000064,Barnehurst,6.872414,2
E05000070,Colyers,4.5625,1
E05000077,Lesnes Abbey,6.114894,2
E05000195,Chase,0.756198,0
E05000213,Winchmore Hill,5.938628,2
E05000196,Cockfosters,3.014437,1
E05000202,Highlands,3.83301,1
E05000212,Upper Edmonton,7.503788,2
E05000205,Palmers Green,5.968912,2
E05000197,Edmonton Green,8.913462,2
E05000204,Lower Edmonton,6.088785,2
E05000200,Grange,7.641337,2
E05000203,Jubilee,2.663342,1
E05000206,Ponders End,5.465909,2
E05000198,Enfield Highway,3.37797,1
E05000193,Bowes,11.064935,3
E05000209,Southgate Green,11.16092,3
E05000208,Southgate,7.973684,2
E05000201,Haselbury,6.909091,2
E05000194,Bush Hill Park,5.76378,2
E05000210,Town,7.884793,2
E05000207,Southbury,7.512281,2
E05000211,Turkey Street,4.707965,1
E05000199,Enfield Lock,4.230769,1
E05000604,Leyton,8.575,2
E05000599,High Street,8.051948,2
E05000600,Higham Hill,4.595745,1
E05000607,Valley,5.207921,2
E05000593,Chingford Green,4.964674,1
E05000591,Cathall,17.76699,4
E05000603,Lea Bridge,6.552632,2
E05000606,Markhouse,11.383562,3
E05000596,Grove Green,15.933333,4
E05000595,Forest,10.743719,3
E05000608,William Morris,9.814433,2
E05000601,Hoe Street,18.693694,4
E05000609,Wood Street,7.794595,2
E05000592,Chapel End,6.269231,2
E05000597,Hale End and Highams Park,4.306383,1
E05000590,Cann Hall,8.095238,2
E05000602,Larkswood,5.656863,2
E05000594,Endlebury,4.276382,1
E05000598,Hatch Lane,4.025316,1
E05000605,Leytonstone,20.723077,5
E05000515,Wanstead,4.349515,1
E05000502,Cranbrook,9.643154,2
E05000510,Newbury,7.038647,2
E05000511,Roding,4.60084,1
E05000503,Fairlop,6,2
E05000505,Goodmayes,9.375758,2
E05000495,Aldborough,2.297674,0
E05000497,Bridge,4.219608,1
E05000506,Hainault,2.270796,0
E05000507,Loxford,10.929688,3
E05000501,Clementswood,12.992308,3
E05000508,Mayfield,5.281081,2
E05000514,Valentines,15.414474,4
E05000512,Seven Kings,7.57619,2
E05000513,Snaresbrook,11.438424,3
E05000500,Clayhall,4.610442,1
E05000499,Church End,7.198676,2
E05000496,Barkingside,8.688312,2
E05000504,Fullwell,4.509174,1
E05000498,Chadwell,5.701987,2
E05000509,Monkhams,4.769481,1
E05000559,Carshalton South and Clockhouse,1.676056,0
E05000560,Cheam,3.043147,1
E05000556,Beddington South,3.019802,1
E05000562,St. Helier,6.786667,2
E05000571,Wandle Valley,4.831683,1
E05000557,Belmont,4.493562,1
E05000561,Nonsuch,4.723958,1
E05000572,Worcester Park,4.479592,1
E05000566,Sutton South,10.811024,3
E05000567,Sutton West,11.234637,3
E05000564,Sutton Central,18.584615,4
E05000558,Carshalton Central,8.52451,2
E05000565,Sutton North,8.497355,2
E05000563,Stonecot,4.295918,1
E05000568,The Wrythe,5.863946,2
E05000570,Wallington South,7.794118,2
E05000569,Wallington North,8.426829,2
E05000555,Beddington North,3.976096,1
E05000520,Hampton,2.925439,1
E05000530,Teddington,3.846868,1
E05000522,Hampton Wick,5.298893,2
E05000523,Heathfield,3.484536,1
E05000531,Twickenham Riverside,12.346734,3
E05000519,"Ham, Petersham and Richmond Riverside",1.488865,0
E05000526,North Richmond,9.528369,2
E05000524,Kew,4.861972,1
E05000517,East Sheen,1.659829,0
E05000525,Mortlake and Barnes Common,8.87766,2
E05000521,Hampton North,3.719388,1
E05000518,Fulwell and Hampton Hill,6.552632,2
E05000532,West Twickenham,5.770492,2
E05000533,Whitton,4.962963,1
E05000529,South Twickenham,9.526316,2
E05000527,St. Margarets and North Twickenham,7.787129,2
E05000528,South Richmond,10.175373,3
E05000516,Barnes,6.44186,2
E05000456,Cannon Hill,6.527027,2
E05000458,Cricket Green,8.036913,2
E05000472,Village,2.370607,0
E05000474,Wimbledon Park,7.275556,2
E05000465,Lower Morden,3.302703,1
E05000473,West Barnes,6.387435,2
E05000469,Raynes Park,10.293478,3
E05000459,Dundonald,21.684211,5
E05000470,St. Helier,7.769231,2
E05000468,Ravensbury,9.295699,2
E05000466,Merton Park,13.104396,3
E05000455,Abbey,17.9,4
E05000460,Figge's Marsh,12.37931,3
E05000467,Pollards Hill,4.737089,1
E05000461,Graveney,8.292135,2
E05000464,Longthornton,6.272109,2
E05000462,Hillside,22.15,5
E05000471,Trinity,15.900901,4
E05000463,Lavender Fields,7.486957,2
E05000457,Colliers Wood,14.234234,3
E05000621,Roehampton and Putney Heath,4.884615,1
E05000625,Thamesfield,15.260417,4
E05000627,Wandsworth Common,7.420863,2
E05000628,West Hill,7.339286,2
E05000629,West Putney,6.516304,2
E05000613,East Putney,14.5125,3
E05000616,Graveney,20.872549,5
E05000626,Tooting,16.358025,4
E05000624,Southfields,10.611465,3
E05000612,Earlsfield,13.262774,3
E05000618,Nightingale,20.88,5
E05000615,Furzedown,7.542254,2
E05000611,Bedford,11.21978,3
E05000610,Balham,17.32,4
E05000614,Fairfield,24.675862,5
E05000619,Northcote,30.25,6
E05000617,Latchmere,36.953704,6
E05000622,St. Mary's Park,12.929078,3
E05000620,Queenstown,12.176101,6
E05000623,Shaftesbury,31.095745,6
E05000259,Palace Riverside,10.33557,3
E05000257,Munster,11.419355,3
E05000262,Sands End,9.471014,2
E05000260,Parsons Green and Walham,17.146067,4
E05000254,Fulham Broadway,20.279412,5
E05000261,Ravenscourt Park,14.408,3
E05000256,Hammersmith Broadway,34.783019,6
E05000252,Avonmore and Brook Green,28.277778,6
E05000251,Askew,9.962025,2
E05000265,Wormholt and White City,7.613636,2
E05000263,Shepherd's Bush Green,28.590909,6
E05000253,College Park and Old Oak,9.964809,2
E05000264,Town,17.492308,4
E05000255,Fulham Reach,14.791209,3
E05000258,North End,21.84375,5
E05000250,Addison,30.927273,6
E05009391,Chelsea Riverside,14.285714,3
E05009397,Holland,23.484848,5
E05009398,Norland,26.392157,6
E05009402,Redcliffe,25.810811,6
E05009405,Stanley,24.767123,5
E05009403,Royal Hospital,18.892157,4
E05009399,Notting Dale,12.425926,3
E05009404,St. Helen's,14.895833,3
E05009392,Colville,21.480769,5
E05009394,Dalgarno,10.022472,3
E05009396,Golborne,15.947368,4
E05009395,Earl's Court,37.895833,6
E05009393,Courtfield,33.901639,6
E05009388,Abingdon,27.596491,6
E05009401,Queen's Gate,24.610169,5
E05009389,Brompton & Hans Town,31.122642,6
E05009390,Campden,26.931373,6
E05009400,Pembridge,33.102564,6
E05000644,St. James's,66.445087,7
E05000638,Lancaster Gate,36.412698,6
E05000637,Knightsbridge and Belgravia,27.150418,6
E05000636,Hyde Park,52.90625,7
E05000633,Churchill,26.758065,6
E05000646,Vincent Square,42.144928,7
E05000649,West End,65.030303,7
E05000635,Harrow Road,20.897959,5
E05000632,Bryanston and Dorset Square,62.32,7
E05000643,Regent's Park,14.671053,3
E05000630,Abbey Road,18.592593,4
E05000641,Marylebone High Street,55.574257,7
E05000642,Queen's Park,18.192982,4
E05000631,Bayswater,27.102041,6
E05000647,Warwick,64.736842,7
E05000645,Tachbrook,33.5,6
E05000648,Westbourne,19.134328,4
E05000639,Little Venice,26.746032,6
E05000640,Maida Vale,18.723077,4
E05000634,Church Street,34.465116,6
E05000144,Swiss Cottage,22.296,5
E05000137,Highgate,5.978395,2
E05000140,Kilburn,21.73913,5
E05000129,Bloomsbury,65.543689,7
E05000138,Holborn and Covent Garden,63.05042,7
E05000143,St. Pancras and Somers Town,45.84058,7
E05000130,Camden Town with Primrose Hill,25.092437,6
E05000131,Cantelowes,17.527027,4
E05000141,King's Cross,65.728814,7
E05000132,Fortune Green,14.74,3
E05000133,Frognal and Fitzjohns,15.890323,4
E05000134,Gospel Oak,13.671429,3
E05000135,Hampstead Town,7.838057,2
E05000139,Kentish Town,21.640777,5
E05000145,West Hampstead,25.252874,6
E05000128,Belsize,13.671053,3
E05000136,Haverstock,18.694444,4
E05000142,Regent's Park,31.725926,6
E05009330,St. Katharine's & Wapping,16.126667,4
E05009332,Shadwell,25.857143,6
E05009324,Island Gardens,9.348684,2
E05009323,Canary Wharf,15.085366,4
E05009318,Blackwall & Cubitt Town,10.574468,3
E05009328,Poplar,16.069444,4
E05009333,Spitalfields & Banglatown,47.931818,7
E05009331,St. Peter's,29.954128,6
E05009317,Bethnal Green,24.479339,5
E05009329,St. Dunstan's,21.014493,5
E05009327,Mile End,19.177419,4
E05009325,Lansbury,9.939394,2
E05009322,Bromley South,12.014085,3
E05009320,Bow West,17.204545,4
E05009319,Bow East,8.687831,2
E05009321,Bromley North,21.793103,5
E05009336,Whitechapel,34.255102,6
E05009334,Stepney Green,22.59375,5
E05009326,Limehouse,18.833333,4
E05009335,Weavers,23.838235,5
E05000370,Clerkenwell,37.677083,6
E05000368,Caledonian,27.017544,6
E05000379,St. Mary's,31.686047,6
E05000375,Holloway,24.262626,5
E05000372,Highbury East,22.613861,5
E05000373,Highbury West,29.416667,6
E05000381,Tollington,16.493976,4
E05000367,Bunhill,44,7
E05000380,St. Peter's,21.051948,5
E05000369,Canonbury,27.547619,6
E05000366,Barnsbury,22.735632,5
E05000378,St. George's,15.059524,4
E05000376,Junction,23.84,5
E05000371,Finsbury Park,36.265957,6
E05000374,Hillrise,14.865854,3
E05000377,Mildmay,24.641975,5
E05009377,Hoxton East & Shoreditch,38.504854,6
E05009375,Haggerston,16.597701,4
E05009371,De Beauvoir,22.133333,5
E05009381,London Fields,18.852941,4
E05009374,Hackney Wick,10.778481,3
E05009369,Clissold,10.105769,3
E05009373,Hackney Downs,18.858491,4
E05009380,Lea Bridge,15.621359,4
E05009368,Cazenove,15.873239,4
E05009383,Springfield,11.2,3
E05009379,King's Park,4.405128,1
E05009367,Brownswood,29.72549,6
E05009378,Hoxton West,25.031746,6
E05009370,Dalston,30.222222,6
E05009386,Victoria,14.480519,3
E05009372,Hackney Central,29.820513,6
E05009376,Homerton,24.3125,5
E05009382,Shacklewell,18.756098,4
E05009385,Stoke Newington,17.278351,4
E05009387,Woodberry Down,17.920455,4
E05009384,Stamford Hill West,12.26087,3
E05000272,Highgate,8.207171,2
E05000271,Harringay,23.237179,5
E05000270,Fortis Green,6.385787,2
E05000267,Bounds Green,17.086957,4
E05000269,Crouch End,8.110345,2
E05000279,Stroud Green,16.9,4
E05000274,Muswell Hill,7.209877,2
E05000273,Hornsey,9.712963,2
E05000266,Alexandra,6.339695,2
E05000275,Noel Park,22.704918,5
E05000284,Woodside,14.283784,3
E05000277,St. Ann's,11.697248,3
E05000278,Seven Sisters,14.622047,3
E05000280,Tottenham Green,25.457143,6
E05000282,West Green,10.882353,3
E05000281,Tottenham Hale,15.473958,4
E05000283,White Hart Lane,9.052326,2
E05000268,Bruce Grove,16.139785,4
E05000276,Northumberland Park,10.521739,3
E05000491,Royal Docks,5.412998,2
E05000477,Canning Town North,13.119522,3
E05000475,Beckton,4.65008,1
E05000482,East Ham South,4.541899,1
E05000492,Stratford and New Town,28.018868,6
E05000478,Canning Town South,10.587912,3
E05000479,Custom House,7.95098,2
E05000490,Plaistow South,13.264706,3
E05000494,West Ham,16.105263,4
E05000489,Plaistow North,14.568421,3
E05000484,Forest Gate South,13.1,3
E05000476,Boleyn,13.294737,3
E05000480,East Ham Central,17.435644,4
E05000486,Green Street West,11.75,3
E05000485,Green Street East,11.635135,3
E05000481,East Ham North,14.933333,3
E05000493,Wall End,7.614286,2
E05000483,Forest Gate North,8.685039,2
E05000488,Manor Park,11.625,3
E05000487,Little Ilford,4.575269,1
E05000032,Gascoigne,9.333333,2
E05000039,Thames,2.528517,1
E05000038,River,4.162921,1
E05000041,Village,4.551402,1
E05000026,Abbey,25.44186,6
E05000035,Longbridge,8.902439,2
E05000031,Eastbury,7.013423,2
E05000033,Goresbrook,5.47541,2
E05000036,Mayesbrook,5.455026,2
E05000028,Becontree,6.007634,2
E05000027,Alibon,7.797101,2
E05000040,Valence,8.159091,2
E05000034,Heath,5.287879,2
E05000042,Whalebone,6.454545,2
E05000030,Eastbrook,3.600575,1
E05000029,Chadwell Heath,3.675595,1
E05000037,Parsloes,5.447154,2
E09000001,City of London,90.802508,7
