Postcode,Ward Code,London zone,Index of Multiple Deprivation,Nearest station,Distance to station,Average Income,IMD decile,Ward Name,AvPTAI2015,PTAL
E14 8PQ,E05009323,2,17320,South Quay,0.450822,52900,6,Canary Wharf,15.085366,4
E14 8PR,E05009323,2,10692,South Quay,0.583789,52900,4,Canary Wharf,15.085366,4
E14 8PS,E05009323,2,7916,Crossharbour and London Arena,0.432463,52900,3,Canary Wharf,15.085366,4
E14 8PT,E05009323,2,7916,Crossharbour and London Arena,0.489729,52900,3,Canary Wharf,15.085366,4
E14 8PU,E05009323,2,7916,Crossharbour and London Arena,0.53686,52900,3,Canary Wharf,15.085366,4
E14 8PW,E05009323,2,7916,Crossharbour and London Arena,0.373242,52900,3,Canary Wharf,15.085366,4
E14 8PX,E05009323,2,10692,Crossharbour and London Arena,0.6678,52900,4,Canary Wharf,15.085366,4
E14 8PY,E05009323,2,10692,South Quay,0.635085,52900,4,Canary Wharf,15.085366,4
E14 8PZ,E05009323,2,10692,South Quay,0.628269,52900,4,Canary Wharf,15.085366,4
E14 8QA,E05009323,2,10692,Crossharbour and London Arena,0.799399,52900,4,Canary Wharf,15.085366,4
E14 8QB,E05009323,2,10692,South Quay,0.628656,52900,4,Canary Wharf,15.085366,4
E14 8QD,E05009323,2,10692,South Quay,0.768311,52900,4,Canary Wharf,15.085366,4
E14 8QE,E05009323,2,10692,South Quay,0.594314,52900,4,Canary Wharf,15.085366,4
E14 8QF,E05009323,2,17320,South Quay,0.511364,52900,6,Canary Wharf,15.085366,4
E14 8QG,E05009326,2,5983,Westferry,0.0337477,68500,2,Limehouse,18.833333,4
E14 8QJ,E05009324,2,20159,Mudchute,0.360241,80100,7,Island Gardens,9.348684,2
E14 8QL,E05009324,2,20159,Mudchute,0.319464,80100,7,Island Gardens,9.348684,2
E14 8QN,E05009326,2,5983,Westferry,0.00227691,68500,2,Limehouse,18.833333,4
E14 8QP,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8QQ,E05009323,2,7916,Crossharbour and London Arena,0.483641,52900,3,Canary Wharf,15.085366,4
E14 8QR,E05009324,2,20159,Mudchute,0.319464,80100,7,Island Gardens,9.348684,2
E14 8QS,E05009323,2,14749,Heron Quays,0.301311,56100,5,Canary Wharf,15.085366,4
E14 8QT,E05009324,2,26798,Mudchute,0.416103,80100,9,Island Gardens,9.348684,2
E14 8QU,E05009324,2,26798,Mudchute,0.416103,80100,9,Island Gardens,9.348684,2
E14 8QW,E05009323,2,14749,Heron Quays,0.301311,56100,5,Canary Wharf,15.085366,4
E14 8QX,E05009324,2,11260,Mudchute,0.448199,80100,4,Island Gardens,9.348684,2
E14 8QY,E05009324,2,11260,Mudchute,0.448199,80100,4,Island Gardens,9.348684,2
E14 8QZ,E05009324,2,11260,Mudchute,0.448199,80100,4,Island Gardens,9.348684,2
E14 8RA,E05009324,2,11260,Mudchute,0.448199,80100,4,Island Gardens,9.348684,2
E14 8RB,E05009324,2,11260,Mudchute,0.448199,80100,4,Island Gardens,9.348684,2
E14 8RD,E05009324,2,11260,Mudchute,0.498536,80100,4,Island Gardens,9.348684,2
E14 8RE,E05009328,2,5828,Westferry,0.22105,48700,2,Poplar,16.069444,4
E14 8RF,E05009327,2,5828,Westferry,0.418474,48700,2,Mile End,19.177419,4
E14 8RG,E05009324,2,11260,Mudchute,0.58262,80100,4,Island Gardens,9.348684,2
E14 8RH,E05009323,2,27157,Westferry,0.408413,56100,9,Canary Wharf,15.085366,4
E14 8RJ,E05009323,2,27157,Westferry,0.336609,56100,9,Canary Wharf,15.085366,4
E14 8RL,E05009323,2,27157,Westferry,0.336609,56100,9,Canary Wharf,15.085366,4
E14 8RN,E05009323,2,27157,Westferry,0.293598,56100,9,Canary Wharf,15.085366,4
E14 8RP,E05009323,2,27157,Westferry,0.376415,56100,9,Canary Wharf,15.085366,4
E14 8RQ,E05009324,2,20159,Mudchute,0.319464,80100,7,Island Gardens,9.348684,2
E14 8RR,E05009323,2,27157,Westferry,0.412412,56100,9,Canary Wharf,15.085366,4
E14 8RS,E05009323,2,27157,Westferry,0.347117,56100,9,Canary Wharf,15.085366,4
E14 8RT,E05009323,2,27157,Westferry,0.391098,56100,9,Canary Wharf,15.085366,4
E14 8RU,E05009324,2,25292,Mudchute,0.812635,80100,8,Island Gardens,9.348684,2
E14 8RW,E05009323,2,27157,Westferry,0.293598,56100,9,Canary Wharf,15.085366,4
E14 8RX,E05009324,2,25292,Mudchute,0.705453,80100,8,Island Gardens,9.348684,2
E14 8RY,E05009324,2,25292,Mudchute,0.710951,80100,8,Island Gardens,9.348684,2
E14 8RZ,E05009324,2,25292,Mudchute,0.705453,80100,8,Island Gardens,9.348684,2
E14 8SA,E05009323,2,27157,Westferry,0.1332,56100,9,Canary Wharf,15.085366,4
E14 8SB,E05009323,2,27157,Westferry,0.090951,56100,9,Canary Wharf,15.085366,4
E14 8SD,E05009323,2,27157,Westferry,0.0749069,56100,9,Canary Wharf,15.085366,4
E14 8SE,E05009323,2,27157,Westferry,0.0861622,56100,9,Canary Wharf,15.085366,4
E14 8SF,E05009323,2,27157,Westferry,0.0981023,56100,9,Canary Wharf,15.085366,4
E14 8SG,E05009323,2,10692,Crossharbour and London Arena,0.818035,52900,4,Canary Wharf,15.085366,4
E14 8SH,E05009323,2,21416,South Quay,0.513243,56100,7,Canary Wharf,15.085366,4
E14 8SJ,E05009323,2,17320,South Quay,0.536717,52900,6,Canary Wharf,15.085366,4
E14 8SL,E05009323,2,11466,Heron Quays,0.450053,52900,4,Canary Wharf,15.085366,4
E14 8SN,E05009323,2,11466,Heron Quays,0.450053,52900,4,Canary Wharf,15.085366,4
E14 8SP,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8SR,E05009323,2,10692,South Quay,0.566618,52900,4,Canary Wharf,15.085366,4
E14 8SS,E05009323,2,10692,South Quay,0.566618,52900,4,Canary Wharf,15.085366,4
E14 8ST,E05009323,2,27157,Westferry,0.320063,56100,9,Canary Wharf,15.085366,4
E14 8SU,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8SW,E05009323,2,21416,South Quay,0.483209,56100,7,Canary Wharf,15.085366,4
E14 8SX,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8SY,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8SZ,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TA,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TB,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TD,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TE,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TF,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TG,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TH,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TJ,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TL,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TN,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TQ,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8TW,E05009323,2,27157,Westferry,0.25311,56100,9,Canary Wharf,15.085366,4
E14 8UA,E05009324,2,25292,Mudchute,0.705453,80100,8,Island Gardens,9.348684,2
E14 8UB,E05009324,2,25292,Mudchute,0.705453,80100,8,Island Gardens,9.348684,2
E14 8UD,E05009324,2,25292,Mudchute,0.705453,80100,8,Island Gardens,9.348684,2
E14 8UE,E05009324,2,25292,Mudchute,0.705453,80100,8,Island Gardens,9.348684,2
E14 8UF,E05009324,2,25292,Mudchute,0.705453,80100,8,Island Gardens,9.348684,2
E14 8UG,E05009324,2,25292,Mudchute,0.705453,80100,8,Island Gardens,9.348684,2
E14 8UH,E05009324,2,25292,Mudchute,0.805107,80100,8,Island Gardens,9.348684,2
E14 8UJ,E05009324,2,25292,Mudchute,0.805107,80100,8,Island Gardens,9.348684,2
E14 8UL,E05009324,2,25292,Mudchute,0.805107,80100,8,Island Gardens,9.348684,2
